width,length,alpha,transparency,blur,distance
0.1,0.1,0,72,1,1.6
0.1,0.1,0,72,1,1.7
0.1,0.1,0,72,1,1.8
0.1,0.1,0,72,1,1.9
0.1,0.1,0,73,1,0.0
0.1,0.1,0,73,1,0.1
0.1,0.1,0,73,1,0.2
0.1,0.1,0,73,1,0.3
0.1,0.1,0,73,1,0.4
0.1,0.1,0,73,1,0.5
0.1,0.1,0,73,1,0.6
0.1,0.1,0,73,1,0.7
0.1,0.1,0,73,1,0.8
0.1,0.1,0,73,1,0.9
0.1,0.1,0,73,1,1.0
0.1,0.1,0,73,1,1.1
0.1,0.1,0,73,1,1.2
0.1,0.1,0,73,1,1.3
0.1,0.1,0,73,1,1.4
0.1,0.1,0,73,1,1.5
0.1,0.1,0,73,1,1.6
0.1,0.1,0,73,1,1.7
0.1,0.1,0,73,1,1.8
0.1,0.1,0,73,1,1.9
0.1,0.1,0,74,1,0.0
0.1,0.1,0,74,1,0.1
0.1,0.1,0,74,1,0.2
0.1,0.1,0,74,1,0.3
0.1,0.1,0,74,1,0.4
0.1,0.1,0,74,1,0.5
0.1,0.1,0,74,1,0.6
0.1,0.1,0,74,1,0.7
0.1,0.1,0,74,1,0.8
0.1,0.1,0,74,1,0.9
0.1,0.1,0,74,1,1.0
0.1,0.1,0,74,1,1.1
0.1,0.1,0,74,1,1.2
0.1,0.1,0,74,1,1.3
0.1,0.1,0,74,1,1.4
0.1,0.1,0,74,1,1.5
0.1,0.1,0,74,1,1.6
0.1,0.1,0,74,1,1.7
0.1,0.1,0,74,1,1.8
0.1,0.1,0,74,1,1.9
0.1,0.1,0,75,1,0.0
0.1,0.1,0,75,1,0.1
0.1,0.1,0,75,1,0.2
0.1,0.1,0,75,1,0.3
0.1,0.1,0,75,1,0.4
0.1,0.1,0,75,1,0.5
0.1,0.1,0,75,1,0.6
0.1,0.1,0,75,1,0.7
0.1,0.1,0,75,1,0.8
0.1,0.1,0,75,1,0.9
0.1,0.1,0,75,1,1.0
0.1,0.1,0,75,1,1.1
0.1,0.1,0,75,1,1.2
0.1,0.1,0,75,1,1.3
0.1,0.1,0,75,1,1.4
0.1,0.1,0,75,1,1.5
0.1,0.1,0,75,1,1.6
0.1,0.1,0,75,1,1.7
0.1,0.1,0,75,1,1.8
0.1,0.1,0,75,1,1.9
0.1,0.1,0,76,1,0.0
0.1,0.1,0,76,1,0.1
0.1,0.1,0,76,1,0.2
0.1,0.1,0,76,1,0.3
0.1,0.1,0,76,1,0.4
0.1,0.1,0,76,1,0.5
0.1,0.1,0,76,1,0.6
0.1,0.1,0,76,1,0.7
0.1,0.1,0,76,1,0.8
0.1,0.1,0,76,1,0.9
0.1,0.1,0,76,1,1.0
0.1,0.1,0,76,1,1.1
0.1,0.1,0,76,1,1.2
0.1,0.1,0,76,1,1.3
0.1,0.1,0,76,1,1.4
0.1,0.1,0,76,1,1.5
0.1,0.1,0,76,1,1.6
0.1,0.1,0,76,1,1.7
0.1,0.1,0,76,1,1.8
0.1,0.1,0,76,1,1.9
0.1,0.1,0,77,1,0.0
0.1,0.1,0,77,1,0.1
0.1,0.1,0,77,1,0.2
0.1,0.1,0,77,1,0.3
0.1,0.1,0,77,1,0.4
0.1,0.1,0,77,1,0.5
0.1,0.1,0,77,1,0.6
0.1,0.1,0,77,1,0.7
0.1,0.1,0,77,1,0.8
0.1,0.1,0,77,1,0.9
0.1,0.1,0,77,1,1.0
0.1,0.1,0,77,1,1.1
0.1,0.1,0,77,1,1.2
0.1,0.1,0,77,1,1.3
0.1,0.1,0,77,1,1.4
0.1,0.1,0,77,1,1.5
0.1,0.1,0,77,1,1.6
0.1,0.1,0,77,1,1.7
0.1,0.1,0,77,1,1.8
0.1,0.1,0,77,1,1.9
0.1,0.1,0,78,1,0.0
0.1,0.1,0,78,1,0.1
0.1,0.1,0,78,1,0.2
0.1,0.1,0,78,1,0.3
0.1,0.1,0,78,1,0.4
0.1,0.1,0,78,1,0.5
0.1,0.1,0,78,1,0.6
0.1,0.1,0,78,1,0.7
0.1,0.1,0,78,1,0.8
0.1,0.1,0,78,1,0.9
0.1,0.1,0,78,1,1.0
0.1,0.1,0,78,1,1.1
0.1,0.1,0,78,1,1.2
0.1,0.1,0,78,1,1.3
0.1,0.1,0,78,1,1.4
0.1,0.1,0,78,1,1.5
0.1,0.1,0,78,1,1.6
0.1,0.1,0,78,1,1.7
0.1,0.1,0,78,1,1.8
0.1,0.1,0,78,1,1.9
0.1,0.1,0,79,1,0.0
0.1,0.1,0,79,1,0.1
0.1,0.1,0,79,1,0.2
0.1,0.1,0,79,1,0.3
0.1,0.1,0,79,1,0.4
0.1,0.1,0,79,1,0.5
0.1,0.1,0,79,1,0.6
0.1,0.1,0,79,1,0.7
0.1,0.1,0,79,1,0.8
0.1,0.1,0,79,1,0.9
0.1,0.1,0,79,1,1.0
0.1,0.1,0,79,1,1.1
0.1,0.1,0,79,1,1.2
0.1,0.1,0,79,1,1.3
0.1,0.1,0,79,1,1.4
0.1,0.1,0,79,1,1.5
0.1,0.1,0,79,1,1.6
0.1,0.1,0,79,1,1.7
0.1,0.1,0,79,1,1.8
0.1,0.1,0,79,1,1.9
0.1,0.1,0,80,1,0.0
0.1,0.1,0,80,1,0.1
0.1,0.1,0,80,1,0.2
0.1,0.1,0,80,1,0.3
0.1,0.1,0,80,1,0.4
0.1,0.1,0,80,1,0.5
